Question,Link
ATM,https://www.codechef.com/problems/HS08TEST
Add Two Numbers,https://www.codechef.com/problems/FLOW001
Enormous Input Test,https://www.codechef.com/problems/INTEST
Sum of Digits,https://www.codechef.com/problems/FLOW006
Find Remainder,https://www.codechef.com/problems/FLOW002
First and Last Digit,https://www.codechef.com/problems/FLOW004
Lucky Four,https://www.codechef.com/problems/LUCKFOUR
Reverse The Number,https://www.codechef.com/problems/FLOW007
Small factorials,https://www.codechef.com/problems/FCTRL2
Turbo Sort,https://www.codechef.com/problems/TSORT
Finding Square Roots,https://www.codechef.com/problems/FSQRT
Second Largest,https://www.codechef.com/problems/FLOW017
Small Factorial,https://www.codechef.com/problems/FLOW018
The Lead Game,https://www.codechef.com/problems/TLG
Helping Chef,https://www.codechef.com/problems/FLOW008
Chef And Operators,https://www.codechef.com/problems/CHOPRT
Packaging Cupcakes,https://www.codechef.com/problems/MUFFINS3
Valid Triangles,https://www.codechef.com/problems/FLOW013
Chef and Remissness,https://www.codechef.com/problems/REMISS
Decrement OR Increment,https://www.codechef.com/problems/DECINC
Mahasena,https://www.codechef.com/problems/AMR15A
Sum OR Difference,https://www.codechef.com/problems/DIFFSUM
Ciel and Receipt,https://www.codechef.com/problems/CIELRCPT
The Block Game,https://www.codechef.com/problems/PALL01
Smallest Numbers of Notes,https://www.codechef.com/problems/FLOW005
Primality Test,https://www.codechef.com/problems/PRB01
Id and Ship,https://www.codechef.com/problems/FLOW010
Puppy and Sum,https://www.codechef.com/problems/PPSUM
Total Expenses,https://www.codechef.com/problems/FLOW009
GCD and LCM,https://www.codechef.com/problems/FLOW016
Gross Salary,https://www.codechef.com/problems/FLOW011
Fit Squares in Triangle,https://www.codechef.com/problems/TRISQ
The Smallest Pair,https://www.codechef.com/problems/SMPAIR
Lapindromes,https://www.codechef.com/problems/LAPIN
Grade The Steel,https://www.codechef.com/problems/FLOW014
Sums in a Triangle,https://www.codechef.com/problems/SUMTRIAN
Tanu and Head-bob,https://www.codechef.com/problems/HEADBOB
Cutting Recipes,https://www.codechef.com/problems/RECIPE
Two vs Ten,https://www.codechef.com/problems/TWOVSTEN
Greedy puppy,https://www.codechef.com/problems/GDOG
Rectangle,https://www.codechef.com/problems/RECTANGL
Ambiguous Permutations,https://www.codechef.com/problems/PERMUT2
Is it a VOWEL or CONSONANT,https://www.codechef.com/problems/VOWELTB
Chef and SnackDown,https://www.codechef.com/problems/SNCKYEAR
Area OR Perimeter,https://www.codechef.com/problems/AREAPERI
Chef and Fruits,https://www.codechef.com/problems/FRUITS
Chef and Two Strings,https://www.codechef.com/problems/CHEFSTLT
Farmer Feb,https://www.codechef.com/problems/POTATOES
HOW MANY DIGITS DO I HAVE,https://www.codechef.com/problems/HOWMANY
Three Way Communications,https://www.codechef.com/problems/COMM3
Coins And Triangle,https://www.codechef.com/problems/TRICOIN
Malvika is peculiar about color of balloons,https://www.codechef.com/problems/CHN09
Mutated Minions,https://www.codechef.com/problems/CHN15A
Chef and the Wildcard Matching,https://www.codechef.com/problems/TWOSTR
Minimum Maximum,https://www.codechef.com/problems/MNMX
Closing the Tweets,https://www.codechef.com/problems/TWTCLOSE
Cops and the Thief Devu,https://www.codechef.com/problems/COPS
Chef and digits of a number,https://www.codechef.com/problems/LONGSEQ
Chef and Dolls,https://www.codechef.com/problems/MISSP
ATM Machine,https://www.codechef.com/problems/ATM2
Piece of cake,https://www.codechef.com/problems/LCH15JAB
Forgotten Language,https://www.codechef.com/problems/FRGTNLNG
Playing with Matches,https://www.codechef.com/problems/MATCHES
Kitchen Timetable,https://www.codechef.com/problems/KTTABLE
Studying Alphabet,https://www.codechef.com/problems/ALPHABET
Farmer And His Plot,https://www.codechef.com/problems/RECTSQ
Two Numbers,https://www.codechef.com/problems/TWONMS
Bear and Candies 123,https://www.codechef.com/problems/CANDY123
Chef and Cook-Off,https://www.codechef.com/problems/CCOOK
Alternating subarray prefix,https://www.codechef.com/problems/ALTARAY
How much Scholarship,https://www.codechef.com/problems/ZCOSCH
Chef and Subarrays,https://www.codechef.com/problems/CHEFARRP
FlatLand,https://www.codechef.com/problems/ICL1902
Chef and Rainbow Array,https://www.codechef.com/problems/RAINBOWA
Devu and friendship testing,https://www.codechef.com/problems/CFRTEST
Buying New Tablet,https://www.codechef.com/problems/TABLET
Chef And Coloring,https://www.codechef.com/problems/COLOR
Version Control System,https://www.codechef.com/problems/VCS
Movie Weekend,https://www.codechef.com/problems/MOVIEWKN
IPL and RCB,https://www.codechef.com/problems/CLIPLX
Program Your Own CALCULATOR,https://www.codechef.com/problems/URCALC
Cats and Dogs,https://www.codechef.com/problems/CATSDOGS
Good Joke!,https://www.codechef.com/problems/RRJOKE
Lazy Jem,https://www.codechef.com/problems/TALAZY
Ada School,https://www.codechef.com/problems/ADASCOOL
Cut the Board,https://www.codechef.com/problems/CUTBOARD
Similar Dishes,https://www.codechef.com/problems/SIMDISH
Chef Judges a Competition,https://www.codechef.com/problems/CO92JUDG
Football,https://www.codechef.com/problems/MSNSADM1
Chef and his Sequence,https://www.codechef.com/problems/CHEFSQ
Coldplay,https://www.codechef.com/problems/SLOOP
That Is My Score!,https://www.codechef.com/problems/WATSCORE
From heaven to earth,https://www.codechef.com/problems/ELEVSTRS
Download file,https://www.codechef.com/problems/DWNLD
Play Piano,https://www.codechef.com/problems/PLAYPIAN
Chef and Bored Games,https://www.codechef.com/problems/PCJ18B
CV,https://www.codechef.com/problems/CV
Count Subarrays,https://www.codechef.com/problems/SUBINC
Bear and Segment 01,https://www.codechef.com/problems/SEGM01
Chef and Interactive Contests,https://www.codechef.com/problems/CHFINTRO
Pair Me,https://www.codechef.com/problems/SUMPOS
Easy Math,https://www.codechef.com/problems/RPD
Palindromic substrings,https://www.codechef.com/problems/STRPALIN
Attendance,https://www.codechef.com/problems/ATTND
